train_step: 0, reward_100: -21, td_error: 64.868301 
train_step: 100, reward_100: -1501, td_error: 60.047359 
train_step: 200, reward_100: -1378, td_error: 59.592121 
train_step: 300, reward_100: -1320, td_error: 59.321175 
train_step: 400, reward_100: -1292, td_error: 59.169975 
train_step: 500, reward_100: -1158, td_error: 58.740551 
train_step: 600, reward_100: -1096, td_error: 59.045937 
train_step: 700, reward_100: -1182, td_error: 58.750160 
train_step: 800, reward_100: -1134, td_error: 58.132694 
train_step: 900, reward_100: -1178, td_error: 58.352867 
train_step: 1000, reward_100: -1228, td_error: 58.279549 
train_step: 1100, reward_100: -1214, td_error: 58.318130 
train_step: 1200, reward_100: -1282, td_error: 58.305511 
train_step: 1300, reward_100: -1256, td_error: 58.109364 
train_step: 1400, reward_100: -1216, td_error: 57.505394 
train_step: 1500, reward_100: -1242, td_error: 57.234856 
train_step: 1600, reward_100: -1296, td_error: 56.903355 
train_step: 1700, reward_100: -1292, td_error: 56.696915 
train_step: 1800, reward_100: -1262, td_error: 56.757324 
train_step: 1900, reward_100: -1238, td_error: 56.912865 
train_step: 2000, reward_100: -1182, td_error: 57.050766 
train_step: 2100, reward_100: -1240, td_error: 57.257603 
train_step: 2200, reward_100: -1208, td_error: 55.689674 
train_step: 2300, reward_100: -1270, td_error: 55.511871 
train_step: 2400, reward_100: -1276, td_error: 54.510971 
train_step: 2500, reward_100: -1270, td_error: 55.586620 
train_step: 2600, reward_100: -1246, td_error: 55.173004 
train_step: 2700, reward_100: -1278, td_error: 54.240639 
train_step: 2800, reward_100: -1266, td_error: 54.218658 
train_step: 2900, reward_100: -1278, td_error: 54.230560 
train_step: 3000, reward_100: -1274, td_error: 54.700062 
train_step: 3100, reward_100: -1242, td_error: 54.211647 
train_step: 3200, reward_100: -1292, td_error: 53.740211 
train_step: 3300, reward_100: -1318, td_error: 53.933674 
train_step: 3400, reward_100: -1292, td_error: 52.908424 
train_step: 3500, reward_100: -1308, td_error: 52.005081 
train_step: 3600, reward_100: -1272, td_error: 52.951958 
train_step: 3700, reward_100: -1280, td_error: 53.131954 
train_step: 3800, reward_100: -1268, td_error: 52.087456 
train_step: 3900, reward_100: -1274, td_error: 51.951218 
train_step: 4000, reward_100: -1202, td_error: 51.887943 
train_step: 4100, reward_100: -1202, td_error: 52.796051 
train_step: 4200, reward_100: -1244, td_error: 51.525558 
train_step: 4300, reward_100: -1224, td_error: 51.418640 
train_step: 4400, reward_100: -1162, td_error: 53.038574 
train_step: 4500, reward_100: -1186, td_error: 52.554348 
train_step: 4600, reward_100: -1172, td_error: 51.466366 
train_step: 4700, reward_100: -1228, td_error: 51.377457 
train_step: 4800, reward_100: -1212, td_error: 51.447071 
train_step: 4900, reward_100: -1206, td_error: 51.818405 
train_step: 5000, reward_100: -1154, td_error: 51.077003 
train_step: 5100, reward_100: -1178, td_error: 50.856403 
train_step: 5200, reward_100: -1208, td_error: 50.736362 
train_step: 5300, reward_100: -1126, td_error: 51.379944 
train_step: 5400, reward_100: -1136, td_error: 50.927120 
train_step: 5500, reward_100: -1158, td_error: 50.383255 
train_step: 5600, reward_100: -1148, td_error: 49.953369 
train_step: 5700, reward_100: -1132, td_error: 50.625198 
train_step: 5800, reward_100: -1200, td_error: 49.783569 
train_step: 5900, reward_100: -1144, td_error: 50.015564 
train_step: 6000, reward_100: -1176, td_error: 49.513809 
